lens_name,number_of_images,ra,dec,z_source,z_lens
B0218+357,2ER,2.35152,35.9372,0.96,0.68
B0712+472,4,7.26766,47.1472,1.34,0.41
B1030+074,2,10.5595,7.19042,1.54,0.6
B1152+200,2,11.9217,19.6617,1.019,0.439
B1422+231,4E,14.4106,22.9335,3.62,0.34
B1600+434,2,16.0279,43.2799,1.59,0.41
B1608+656,4,16.1539,65.5414,1.39,0.63
B1933+503,10,19.5753,50.4232,2.63,0.76
B1938+666,R,19.6403,66.8145,2.059,0.881
B2045+265,4,20.789,26.7337,1.28,0.87
B2114+022,2+2?,21.2808,2.42969,0.59,0.32
BRI0952-0115,2,9.91667,-1.50139,4.5,0.632
CFRS03.1077,2ER,3.04192,0.100583,2.941,0.938
CY2201-3201,2,22.0258,-32.0289,3.9,0.32
HE0047-1756,2,0.841064,-17.6691,1.66,0.41
HE0230-2130,4,2.54253,-21.2906,2.162,0.52
HE0435-1223,4,4.63747,-12.2873,1.689,0.46
HE1104-1805,2,11.1093,-18.3567,2.32,0.73
HE2149-2745,2,21.8687,-27.5306,2.03,0.5
HS0818+1227,2,8.36086,12.2914,3.115,0.39
HST14113+5211,4,14.1888,52.1914,2.81,0.46
HST14176+5226,4,14.2935,52.4444,3.4,0.81
HST15433+5352,2R,15.7225,53.8644,2.092,0.497
J1004+1229,2,10.0736,12.4895,2.65,0.95
LBQS1009-0252,2,10.2044,-3.11722,2.74,0.87
MG0414+0534,4E,4.24381,5.57897,2.64,0.96
MG0751+2716,R,7.86152,27.2754,3.2,0.35
MG1549+3047,R,15.8201,30.7879,1.17,0.11
MG1654+1346,R,16.9116,13.7728,1.74,0.25
MG2016+112,2E,20.3217,11.4523,3.27,1.01
PG1115+080,4,11.3047,7.76603,1.72,0.31
PKS1830-211,2ER,18.5611,-21.061,2.51,0.89
PMNJ0134-0931,5R,1.57658,-9.51747,2.216,0.77
Q0047-2808,4ER,0.828303,-27.8738,3.6,0.48
Q0142-100,2,1.75458,-9.75472,2.72,0.49
Q0957+561,2E,10.0224,55.8971,1.41,0.36
Q2237+030,4,22.6751,3.358,1.69,0.04
QJ0158-4325,2,1.97818,-43.4178,1.29,0.317
RXJ0911+0551,4,9.19097,5.84778,2.8,0.77
RXJ0921+4529,2,9.35356,45.4846,1.65,0.31
RXJ1131-1231,4,11.531,-12.5325,0.658,0.295
SBS0909+523,2,9.21696,52.9913,1.38,0.83
SBS1520+530,2,15.3625,52.9135,1.86,0.72
SDSS0806+2006,2,8.10658,20.1089,1.54,0.573
SDSS0903+5028,2,9.0597,50.472,3.605,0.388
SDSS0924+0219,4,9.41552,2.32358,1.524,0.39
SDSS1004+4112,4,10.0764,41.2119,1.734,0.68
SDSS1011+0143,4,10.1915,1.72314,2.701,0.331
SDSS1029+2623,4,10.487,26.3922,2.197,0.55
SDSS1138+0314,4,11.6344,3.24944,2.44,0.45
SDSS1155+6346,2,11.9215,63.7728,2.89,0.176
SDSS1226-0006,2,12.4356,-0.100556,1.12,0.52
SDSS1332+0347,2,13.5396,3.79442,1.445,0.191
SDSS1353+1138,2,13.8851,11.6346,1.629,0.3
SDSS1402+6321,4,14.0412,63.3593,0.48,0.2
SDSS1406+6126,4,14.1069,61.4447,2.13,0.27
WFI2033-4723,4,20.5617,-47.3953,1.66,0.66
